Date,Open,High,Low,Close,Adj Close,Volume
2017-04-19,87000,88600,86500,87200,87097.57031,686885
2017-04-20,88900,91100,88200,90800,90693.34375,1559946
2017-04-21,91700,91900,89600,90000,89894.28125,860895
2017-04-24,90600,91500,89300,90200,90094.04688,609794
2017-04-25,90700,90800,89600,90800,90693.34375,512570
2017-04-26,91800,94100,91400,92600,92491.22656,1219425
2017-04-27,93000,93000,91200,91400,91292.64063,487452
2017-04-28,91700,92300,89300,90400,90293.8125,597202
2017-05-02,91500,92800,91000,92600,92491.22656,547726
2017-05-04,93800,94900,93200,94000,93889.58594,641966
2017-05-08,94200,95000,93400,95000,94888.41406,606290
2017-05-10,95800,95800,93600,94000,93889.58594,591255
2017-05-11,95800,96000,94800,95200,95088.17188,742959
2017-05-12,95700,95800,94500,95800,95687.46875,456417
2017-05-15,95800,96300,93500,93800,93689.82031,637232
2017-05-16,94500,95400,94100,95200,95088.17188,523113
2017-05-17,95500,95600,94200,95200,95088.17188,367716
2017-05-18,94000,95500,93800,95200,95088.17188,494101
2017-05-19,95500,98400,95500,98000,97884.88281,864141
2017-05-22,99000,99500,97700,99500,99383.125,586072
2017-05-23,99600,99800,98500,99000,98883.71094,441606
2017-05-24,98900,99500,98200,99500,99383.125,365620
2017-05-25,99900,99900,98600,98600,98484.17969,373447
2017-05-26,99200,101000,99100,99700,99582.89063,495326
2017-05-29,100200,100200,99100,99200,99083.47656,382156
2017-05-30,99500,99700,98000,98100,97984.76563,452940
2017-05-31,98200,99400,98200,98800,98683.94531,543164
2017-06-01,99000,99400,98200,98800,98683.94531,268742
2017-06-02,99200,100900,99200,100800,100681.5938,602328
2017-06-05,101500,104600,101200,104500,104377.25,840185
2017-06-07,105000,108300,104200,108000,107873.1406,1018606
2017-06-08,108800,110100,106700,108500,108372.5547,993097
2017-06-09,108500,110000,107900,109800,109671.0234,589751
2017-06-12,107000,107800,103400,105000,104876.6641,1280193
2017-06-13,106200,107500,105500,106900,106774.4297,655263
2017-06-14,108100,108400,105000,106400,106275.0156,675374
2017-06-15,106700,106900,104800,105500,105376.0781,418961
2017-06-16,105300,105400,102100,102900,102779.1328,945380
2017-06-19,102400,104500,102400,103800,103678.0703,395315
2017-06-20,104900,105000,101100,101500,101380.7734,557636
2017-06-21,100200,100300,98000,98800,98683.94531,953598
2017-06-22,99800,99900,97100,98000,97884.88281,552636
2017-06-23,97800,101500,97500,101500,101380.7734,540430
2017-06-26,101700,102100,99700,100200,100082.3047,388658
2017-06-27,100700,104400,100400,103800,103678.0703,729641
2017-06-28,102200,103000,100500,100800,100681.5938,418589
2017-06-29,102400,102700,100800,101500,101380.7734,254580
2017-06-30,100300,103300,100300,101500,101380.7734,321295
2017-07-03,102400,102700,99100,99400,99283.24219,466365
2017-07-04,99900,100500,98000,98300,98184.53125,436397
2017-07-05,98500,102600,98500,102500,102379.6016,596647
2017-07-06,103300,105900,103200,104100,103977.7188,707536
2017-07-07,103500,103700,100200,101600,101480.6563,996796
2017-07-10,102500,103500,101000,102000,101880.1875,356174
2017-07-11,102500,102500,99700,100500,100381.9531,352591
2017-07-12,98500,99900,97600,98500,98384.29688,621240
2017-07-13,99200,100500,98500,99900,99782.65625,318819
2017-07-14,100500,101500,99000,99000,98883.71094,197097
2017-07-17,99200,101000,99200,100500,100381.9531,211816
2017-07-18,101500,104500,101000,103500,103378.4297,701273
2017-07-19,105000,106000,103500,105000,104876.6641,444737
